Field,Value
Name,00-09-17-078-19W6 lithology and geophysics
Filename,GB 15-1.zip
Project,Groundbirch BCGS Open File 2016-05
Owner,Vic Levson
Description,lithology and geophysics for drill hole
Date,Unknown
Latitude,55.7624167
Longitude,-120.8976389
LicenseText,Copyright Province of BC
LicenseLink,https://www2.gov.bc.ca/gov/content/home/copyright
Tags,"geology, lithology, geophysics"
Shareable,yes
