Field,Value
Name,Drill log 2017-7
Filename,Drill log 2017-7.xlsx
Project,Groundbirch
Owner,Vic Levson
Description,"Geologic log for drill hole 7. Sonic drill, drilled by Mud Bay Drillers"
Date,05-May-17
Latitude,56.497741
Longitude,-121.85
LicenseText,BC Open Government License
LicenseLink,http://blahblah.blah
Tags,"geology, lithology, drill log, sonic"
Shareable,yes/no
