Field,Value
Name,Drill log 2017-10x-2
Filename,Drill log 2017-10x-2.xlsx
Project,Groundbirch
Owner,Vic Levson
Description,"Geologic log for drill hole 13. Sonic drill, drilled by Mud Bay Drillers"
Date,02-Apr-17
Latitude,56.1651997
Longitude,-121.8611425
LicenseText,BC Open Government License
LicenseLink,http://blahblah.blah
Tags,"geology, lithology, drill log, sonic"
Shareable,yes/no
